file,type,lines,hasExperimentalPhysics,hasStageParamsBridge,hasRandomize,hasExport,usesSharedRuntime
noixzy_aperture_field.html,wrapper,3,false,false,false,false,true
noixzy_apollonian_packing.html,wrapper,13,false,false,false,false,true
noixzy_batch_11_runtime.js,runtime,175,true,true,true,true,false
noixzy_batch_12_math_runtime.js,runtime,131,true,false,true,true,false
noixzy_batch_12_runtime.js,runtime,387,true,true,true,true,false
noixzy_batch_13_runtime.js,runtime,409,true,true,true,true,false
noixzy_batch_14_unexplored_runtime.js,runtime,117,true,false,true,true,false
noixzy_boids_ink_current.html,wrapper,3,false,false,true,false,true
noixzy_bonsai_circuit_growth.html,wrapper,3,false,false,true,false,true
noixzy_brick_bond_field.html,wrapper,13,false,false,false,false,true
noixzy_brise_soleil.html,wrapper,3,false,false,false,false,true
noixzy_brutalist_massing.html,standalone,583,true,false,true,true,false
noixzy_brutalist_massing_asymmetric.html,standalone,590,true,false,true,true,false
noixzy_brutalist_massing_cantilever.html,standalone,583,true,false,true,true,false
noixzy_brutalist_massing_chambers.html,standalone,582,true,false,true,true,false
noixzy_brutalist_massing_cluster.html,standalone,581,true,false,true,true,false
noixzy_brutalist_massing_folded.html,standalone,555,true,false,true,true,false
noixzy_brutalist_massing_linear.html,standalone,569,true,false,true,true,false
noixzy_brutalist_massing_mat.html,standalone,564,true,false,true,true,false
noixzy_brutalist_massing_megaform.html,standalone,579,true,false,true,true,false
noixzy_brutalist_massing_modular.html,standalone,565,true,false,true,true,false
noixzy_brutalist_massing_slabs.html,standalone,572,true,false,true,true,false
noixzy_brutalist_massing_split.html,standalone,589,true,false,true,true,false
noixzy_brutalist_massing_towers.html,standalone,604,true,false,true,true,false
noixzy_bz_reaction_rings.html,wrapper,3,false,false,false,false,true
noixzy_calibrated_gate_relic.html,wrapper,2,false,false,false,false,true
noixzy_candidate_runtime.js,runtime,1488,true,true,true,true,false
noixzy_catenary_arches.html,wrapper,13,false,false,false,false,true
noixzy_cellular_rake_tiles.html,wrapper,3,false,false,true,false,true
noixzy_chladni_plate.html,wrapper,13,false,false,false,false,true
noixzy_concrete_relief.html,standalone,551,true,false,true,true,false
noixzy_cosmos_quick_runtime.js,runtime,215,true,true,true,true,false
noixzy_courtyard_plan.html,wrapper,3,false,false,false,false,true
noixzy_cyclic_ca_spiral_reactor.html,wrapper,3,false,false,false,false,true
noixzy_diagrid_tower.html,wrapper,3,false,false,false,false,true
noixzy_differential_growth.html,wrapper,13,false,false,false,false,true
noixzy_diffusion_aggregate.html,wrapper,13,false,false,false,false,true
noixzy_entropy_mask_field.html,standalone,624,true,false,true,true,false
noixzy_escher_tessellation_morph.html,wrapper,3,false,false,false,false,true
noixzy_falling_sand_microphysics.html,wrapper,3,false,false,false,false,true
noixzy_floorplan_splitter.html,wrapper,13,false,false,false,false,true
noixzy_fourier_epicycle_array.html,wrapper,3,false,false,false,false,true
noixzy_frosted_baffle_field.html,wrapper,2,false,false,false,false,true
noixzy_girih_star_field.html,wrapper,13,false,false,false,false,true
noixzy_gosper_curve_city.html,wrapper,3,false,false,false,false,true
noixzy_half_hidden_chamber.html,wrapper,2,false,false,false,false,true
noixzy_hilbert_plan.html,wrapper,13,false,false,false,false,true
noixzy_hitomezashi_stitch_matrix.html,wrapper,3,false,false,false,false,true
noixzy_ifs_fern_scaffold.html,wrapper,3,false,false,false,false,true
noixzy_indexed_hinge_array.html,wrapper,2,false,false,false,false,true
noixzy_labyrinth_field.html,wrapper,13,false,false,false,false,true
noixzy_lenia_kernel_garden.html,wrapper,3,false,false,false,false,true
noixzy_light_well.html,wrapper,3,false,false,false,false,true
noixzy_load_path.html,wrapper,3,false,false,false,false,true
noixzy_lsystem_canopy.html,wrapper,13,false,false,false,false,true
noixzy_magnetic_dipole_linework.html,wrapper,3,false,false,false,false,true
noixzy_mashrabiya_modern.html,wrapper,3,false,false,false,false,true
noixzy_minimal_parti.html,wrapper,3,false,false,false,false,true
noixzy_misaligned_float_scaffold.html,wrapper,2,false,false,false,false,true
noixzy_modernist_facade.html,standalone,518,true,false,true,true,false
noixzy_modulor_field.html,wrapper,3,false,false,false,false,true
noixzy_modulor_grid_system.html,wrapper,3,false,false,false,false,true
noixzy_moire_facade.html,wrapper,13,false,false,false,false,true
noixzy_nano_kitbash_lattice.html,wrapper,3,false,false,false,false,true
noixzy_offset_plinth_threshold.html,wrapper,2,false,false,false,false,true
noixzy_panelization_solver.html,wrapper,3,false,false,false,false,true
noixzy_parametric_pavilion.html,wrapper,3,false,false,false,false,true
noixzy_parametric_shell.html,standalone,517,true,false,true,true,false
noixzy_particle_moss_orbits.html,wrapper,3,false,false,true,false,true
noixzy_penrose_deflation.html,wrapper,13,false,false,false,false,true
noixzy_phyllotaxis_dome.html,wrapper,13,false,false,false,false,true
noixzy_physarum_network.html,wrapper,13,false,false,false,false,true
noixzy_poche_generator.html,wrapper,3,false,false,false,false,true
noixzy_pressure_thread_physics.html,wrapper,3,false,false,true,false,true
noixzy_quasicrystal_diffraction_garden.html,wrapper,3,false,false,false,false,true
noixzy_quiet_grid.html,wrapper,3,false,false,false,false,true
noixzy_recursive_keystone_frame.html,wrapper,2,false,false,false,false,true
noixzy_recursive_kintsugi_array.html,wrapper,3,false,false,true,false,true
noixzy_rib_vault_generator.html,wrapper,13,false,false,false,false,true
noixzy_screen_block.html,wrapper,3,false,false,false,false,true
noixzy_section_cut.html,wrapper,3,false,false,false,false,true
noixzy_section_stack.html,wrapper,13,false,false,false,false,true
noixzy_service_core.html,wrapper,3,false,false,false,false,true
noixzy_shadow_louver.html,wrapper,3,false,false,false,false,true
noixzy_shodo_vector_field.html,wrapper,3,false,false,true,false,true
noixzy_spectral_ribbon_bridge.html,wrapper,3,false,false,false,false,true
